zip_code,city,region,date,max_temp_f,min_temp_f,condition,run_date
90045,Los Angeles,California,2026-04-27,65.3,52.5,Sunny,2026-04-27
90045,Los Angeles,California,2026-04-28,64.9,57.1,Sunny,2026-04-27
90045,Los Angeles,California,2026-04-29,67.2,59.0,Sunny,2026-04-27
10001,New York,New York,2026-04-27,71.1,41.0,Sunny,2026-04-27
10001,New York,New York,2026-04-28,62.0,47.1,Partly Cloudy,2026-04-27
10001,New York,New York,2026-04-29,58.1,49.2,Moderate rain,2026-04-27
60601,Chicago,Illinois,2026-04-27,60.8,52.3,Moderate rain,2026-04-27
60601,Chicago,Illinois,2026-04-28,56.8,49.9,Patchy rain nearby,2026-04-27
60601,Chicago,Illinois,2026-04-29,50.6,45.9,Patchy rain nearby,2026-04-27
98101,Seattle,Washington,2026-04-27,59.4,46.9,Overcast,2026-04-27
98101,Seattle,Washington,2026-04-28,57.5,46.0,Patchy rain nearby,2026-04-27
98101,Seattle,Washington,2026-04-29,64.7,43.4,Partly Cloudy,2026-04-27
33101,Miami,Florida,2026-04-27,87.1,68.7,Sunny,2026-04-27
33101,Miami,Florida,2026-04-28,80.0,74.8,Patchy rain nearby,2026-04-27
33101,Miami,Florida,2026-04-29,80.3,76.8,Partly Cloudy,2026-04-27
77001,Houston,Texas,2026-04-27,85.8,74.1,Overcast,2026-04-27
77001,Houston,Texas,2026-04-28,90.5,74.9,Partly Cloudy,2026-04-27
77001,Houston,Texas,2026-04-29,95.0,74.3,Patchy rain nearby,2026-04-27
85001,Phoenix,Arizona,2026-04-27,84.4,56.7,Sunny,2026-04-27
85001,Phoenix,Arizona,2026-04-28,82.0,64.1,Sunny,2026-04-27
85001,Phoenix,Arizona,2026-04-29,86.3,69.2,Sunny,2026-04-27
19101,Philadelphia,Pennsylvania,2026-04-27,74.5,40.3,Sunny,2026-04-27
19101,Philadelphia,Pennsylvania,2026-04-28,66.4,47.7,Sunny,2026-04-27
19101,Philadelphia,Pennsylvania,2026-04-29,66.0,52.5,Moderate rain,2026-04-27
78201,San Antonio,Texas,2026-04-27,97.2,75.0,Patchy rain nearby,2026-04-27
78201,San Antonio,Texas,2026-04-28,94.7,72.8,Partly Cloudy,2026-04-27
78201,San Antonio,Texas,2026-04-29,93.6,67.4,Heavy rain,2026-04-27
75201,Dallas,Texas,2026-04-27,99.3,73.8,Overcast,2026-04-27
75201,Dallas,Texas,2026-04-28,93.5,73.5,Patchy rain nearby,2026-04-27
75201,Dallas,Texas,2026-04-29,69.5,64.4,Patchy rain nearby,2026-04-27
95101,San Jose,California,2026-04-27,69.1,45.9,Sunny,2026-04-27
95101,San Jose,California,2026-04-28,71.1,43.3,Sunny,2026-04-27
95101,San Jose,California,2026-04-29,74.9,45.4,Sunny,2026-04-27
78701,Austin,Texas,2026-04-27,93.6,73.8,Patchy rain nearby,2026-04-27
78701,Austin,Texas,2026-04-28,93.3,68.4,Heavy rain,2026-04-27
78701,Austin,Texas,2026-04-29,93.8,70.7,Heavy rain,2026-04-27
32099,Jacksonville,Florida,2026-04-27,73.4,66.0,Partly Cloudy,2026-04-27
32099,Jacksonville,Florida,2026-04-28,84.9,65.1,Sunny,2026-04-27
32099,Jacksonville,Florida,2026-04-29,92.3,66.3,Partly Cloudy,2026-04-27
28201,Charlotte,North Carolina,2026-04-27,78.4,50.9,Partly Cloudy,2026-04-27
28201,Charlotte,North Carolina,2026-04-28,64.3,52.6,Patchy rain nearby,2026-04-27
28201,Charlotte,North Carolina,2026-04-29,71.1,57.7,Moderate rain,2026-04-27
43085,Columbus,Ohio,2026-04-27,84.4,43.2,Patchy rain nearby,2026-04-27
43085,Columbus,Ohio,2026-04-28,73.4,59.5,Heavy rain,2026-04-27
43085,Columbus,Ohio,2026-04-29,56.8,49.8,Heavy rain,2026-04-27
46201,Indianapolis,Indiana,2026-04-27,84.2,52.7,Heavy rain,2026-04-27
46201,Indianapolis,Indiana,2026-04-28,71.0,60.5,Moderate rain,2026-04-27
46201,Indianapolis,Indiana,2026-04-29,64.3,51.9,Moderate rain,2026-04-27
94101,San Francisco,California,2026-04-27,64.9,48.4,Sunny,2026-04-27
94101,San Francisco,California,2026-04-28,61.1,51.8,Sunny,2026-04-27
94101,San Francisco,California,2026-04-29,62.2,52.7,Sunny,2026-04-27
43201,Columbus,Ohio,2026-04-27,84.7,43.5,Patchy rain nearby,2026-04-27
43201,Columbus,Ohio,2026-04-28,74.7,59.8,Heavy rain,2026-04-27
43201,Columbus,Ohio,2026-04-29,57.7,50.8,Heavy rain,2026-04-27
80201,Denver,Colorado,2026-04-27,54.0,40.0,Patchy rain nearby,2026-04-27
80201,Denver,Colorado,2026-04-28,54.4,40.1,Patchy rain nearby,2026-04-27
80201,Denver,Colorado,2026-04-29,62.2,39.4,Patchy rain nearby,2026-04-27
37201,Nashville,Tennessee,2026-04-27,89.6,60.1,Sunny,2026-04-27
37201,Nashville,Tennessee,2026-04-28,75.5,63.2,Heavy rain,2026-04-27
37201,Nashville,Tennessee,2026-04-29,70.4,57.5,Patchy rain nearby,2026-04-27
90045,Los Angeles,California,2026-04-29,70.7,49.1,Sunny,2026-04-29
90045,Los Angeles,California,2026-04-30,66.9,60.0,Sunny,2026-04-29
90045,Los Angeles,California,2026-05-01,67.9,60.7,Sunny,2026-04-29
10001,New York,New York,2026-04-29,62.1,49.6,Patchy rain nearby,2026-04-29
10001,New York,New York,2026-04-30,58.4,50.2,Moderate rain,2026-04-29
10001,New York,New York,2026-05-01,60.7,44.4,Sunny,2026-04-29
60601,Chicago,Illinois,2026-04-29,55.0,45.1,Patchy rain nearby,2026-04-29
60601,Chicago,Illinois,2026-04-30,52.9,44.8,Patchy rain nearby,2026-04-29
60601,Chicago,Illinois,2026-05-01,45.4,40.3,Sunny,2026-04-29
98101,Seattle,Washington,2026-04-29,65.4,41.7,Sunny,2026-04-29
98101,Seattle,Washington,2026-04-30,69.6,45.1,Sunny,2026-04-29
